CONTENIDO,,,,,,,,

1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por subgrupos ocupacionales de la mujer, según subgrupos ocupacionales del hombre",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2015 ",,,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,,
,, Menos de 15 , 15-19 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 5.726   , -     , 17   , 266   , 597   , 596   , 412   , 253   , 160   , 96   , 57   , 78   , 3.194   ,
 Menos de 15 , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     , -     ,
 15 - 19 , 105   , -     , 6   , 57   , 23   , 6   , 6   , 2   , 1   , 1   , -     , -     , 3   ,
 20 - 24 , 520   , -     , 8   , 149   , 235   , 82   , 24   , 10   , 4   , -     , 1   , -     , 7   ,
 25 - 29 , 639   , -     , 2   , 49   , 253   , 221   , 55   , 17   , 12   , 1   , -     , 2   , 27   ,
 30 - 34 , 515   , -     , 1   , 6   , 60   , 196   , 144   , 39   , 17   , 5   , 1   , 2   , 44   ,
 35 - 39 , 332   , -     , -     , 2   , 6   , 42   , 118   , 71   , 25   , 10   , 6   , 5   , 47   ,
 40 - 44 , 211   , -     , -     , -     , 4   , 7   , 17   , 61   , 42   , 20   , 8   , 8   , 44   ,
 45 - 49 , 94   , -     , -     , 1   , 2   , 3   , 7   , 10   , 25   , 21   , 5   , 1   , 19   ,
 50 - 54 , 67   , -     , -     , -     , -     , 1   , 2   , 1   , 3   , 16   , 16   , 11   , 17   ,
 55 - 59 , 37   , -     , -     , -     , 1   , -     , 1   , 1   , 1   , 2   , 9   , 15   , 7   ,
 60 y más , 31   , -     , -     , -     , -     , -     , -     , -     , 1   , 2   , 2   , 20   , 6   ,
 Ignorado , 3.175   , -     , -     , 2   , 13   , 38   , 38   , 41   , 29   , 18   , 9   , 14   , 2.973   ,
" Divorcios por pueblo de pertenencia del hombre, según pueblo de pertenencia de la mujer, año 2015 ",,,,,,,
 Pueblo de pertenencia de la mujer , Total , Pueblo de pertenencia del hombre ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 5.726 , 345 , 2 , - , 1.925 , 15 , 3.439 
 Maya , 334 , 228 , 1 , - , 47 , 1 , 57 
 Garífuna , 1 , - , 1 , - , - , - , - 
 Xinka , - , - , - , - , - , - , - 
 Mestizo / ladino , 1.983 , 71 , - , - , 1.593 , 7 , 312 
 Otro , 12 , 3 , - , - , 5 , 1 , 3 
 Ignorado , 3.396 , 43 , - , - , 280 , 6 , 3.067 
" Divorcios por mes de registro, según departamento de registro, año 2015 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
 Operadores de instalaciones y máquinas y ensambladores , 331 , - , 2 , 38 , 16 , 27 , 18 , - , 2 , 5 , 2 , 204 , 17 
 Ocupaciones elementales , 1.551 , - , - , 52 , 38 , 37 , 46 , - , 18 , 6 , 4 , 1.245 , 105 
 No especificado en otro grupo , 2.675 , - , 5 , 260 , 86 , 204 , 77 , - , 12 , 11 , 4 , 1.904 , 112 
 Ignorado , 1.721 , - , - , 20 , 10 , 16 , 15 , - , 5 , 1 , 1 , 142 , 1.511 
" Fuente: Estadísticas Vitales, INE ",,,,,,,,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,,,,,,,
"Divorcios por mes de ocurrencia, según día de ocurrencia, año 2022",,,,,,,,,,,,,
Día de ocurrencia,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los días, 9.950   , 664   , 826   , 1.015   , 689   , 939   , 924   , 863   , 1.047   , 875   , 843   , 667   , 598   
1, 353   , -     , 40   , 52   , 31   , 2   , 47   , 25   , 54   , 62   , -     , -     , 40   
2, 289   , 1   , 37   , 42   , 1   , 3   , 51   , -     , 46   , 31   , -     , 35   , 42   
3, 320   , 2   , 52   , 45   , -     , 43   , 46   , -     , 52   , 1   , 51   , 28   , -     
4, 314   , 22   , 36   , 48   , 41   , 41   , -     , 8   , 52   , -     , 36   , 30   , -     
5, 315   , 23   , 2   , 1   , 42   , 34   , -     , 40   , 37   , 47   , 54   , 1   , 34   
6, 288   , 19   , 3   , 1   , 25   , 37   , 51   , 33   , 1   , 47   , 44   , 1   , 26   
7, 378   , 18   , 40   , 50   , 31   , 1   , 42   , 49   , -     , 39   , 45   , 32   , 31   
8, 335   , 1   , 32   , 35   , 41   , -     , 38   , 37   , 45   , 46   , -     , 26   , 34   
9, 309   , 1   , 37   , 41   , 2   , 51   , 30   , -     , 48   , 47   , -     , 24   , 28   
10, 341   , 42   , 41   , 54   , -     , 24   , 49   , -     , 43   , 1   , 46   , 41   , -     
11, 316   , 35   , 36   , 32   , 38   , 42   , -     , 43   , 51   , -     , 36   , 3   , -     
12, 349   , 29   , -     , -     , 35   , 34   , 1   , 53   , 50   , 45   , 53   , -     , 49   
13, 283   , 37   , 1   , -     , 2   , 44   , 36   , 48   , -     , 38   , 44   , -     , 33   
14, 364   , 37   , 45   , 48   , 1   , -     , 44   , 41   , 2   , 34   , 41   , 43   , 28   
15, 261   , 1   , 40   , 37   , -     , -     , 38   , 42   , 35   , -     , 1   , 29   , 38   
16, 320   , -     , 40   , 62   , -     , 59   , 54   , -     , 40   , 3   , 2   , 30   , 30   
17, 338   , 41   , 40   , 49   , -     , 46   , 28   , -     , 51   , -     , 44   , 39   , -     
18, 432   , 34   , 53   , 48   , 49   , 59   , -     , 51   , 55   , 1   , 47   , 35   , -     
19, 316   , 30   , -     , -     , 25   , 56   , -     , 41   , 39   , 54   , 40   , -     , 31   
20, 310   , 41   , -     , -     , 35   , 47   , 40   , 53   , -     , 49   , 2   , -     , 43   
21, 385   , 34   , 41   , 42   , 49   , -     , 37   , 43   , -     , 40   , 34   , 29   , 36   
22, 353   , -     , 31   , 41   , 36   , 1   , 45   , 47   , 42   , 52   , 2   , 30   , 26   
23, 280   , -     , 28   , 34   , 1   , 53   , 50   , -     , 41   , 39   , -     , 34   , -     
24, 350   , 25   , 58   , 35   , -     , 40   , 41   , 1   , 36   , 2   , 62   , 49   , 1   
25, 356   , 29   , 38   , 37   , 46   , 43   , -     , 47   , 45   , -     , 45   , 26   , -     
26, 303   , 45   , 1   , -     , 41   , 49   , -     , 40   , 38   , 46   , 41   , 1   , 1   
27, 293   , 43   , 1   , -     , 44   , 36   , 40   , 45   , 1   , 36   , 35   , -     , 12   
28, 390   , 24   , 53   , 54   , 41   , 1   , 38   , 43   , 1   , 38   , 35   , 47   , 15   
29, 289   , -     , -     , 39   , 32   , 1   , 39   , 32   , 54   , 45   , 2   , 25   , 20   
30, 241   , -     , -     , 40   , -     , 50   , 39   , 1   , 50   , 32   , -     , 29   , -     
31, 179   , 50   , -     , 48   , -     , 42   , -     , -     , 38   , -     , 1   , -     , -     
" Fuente: Estadísticas Vitales, INE ",,,,,,,,,,,,,
" Nota: En el cuadro de datos, los guiones (""-"") se utilizan para indicar valores nulos o ceros. ",,,,,,,,,,,,,
CONTENIDO,,,,,,,,

,Presentación,,,,,,,
1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del esposo, según pueblo de pertenencia de la esposa",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por grupos ocupacionales de la esposa, según grupos ocupacionales del esposo",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2021 ",,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,
,, Menos de 20 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 9.621   , 1   , 238   , 1.193   , 1.565   , 1.169   , 780   , 500   , 269   , 166   , 204   , 3.536   ,
 Menos de 20 , 4   , -     , 2   , 2   , -     , -     , -     , -     , -     , -     , -     , -     ,
 20 - 24 , 638   , 1   , 160   , 330   , 97   , 30   , 6   , 6   , 1   , 4   , 2   , 1   ,
 25 - 29 , 1.606   , -     , 62   , 641   , 610   , 181   , 59   , 29   , 9   , 5   , 4   , 6   ,
 30 - 34 , 1.501   , -     , 11   , 165   , 642   , 438   , 138   , 40   , 19   , 7   , 8   , 33   ,
 35 - 39 , 986   , -     , 3   , 38   , 152   , 355   , 246   , 78   , 38   , 11   , 19   , 46   ,
 40 - 44 , 647   , -     , -     , 12   , 36   , 103   , 204   , 153   , 48   , 16   , 19   , 56   ,
 45 - 49 , 349   , -     , -     , 4   , 10   , 13   , 43   , 111   , 74   , 24   , 19   , 51   ,
 50 - 54 , 167   , -     , -     , -     , 1   , 3   , 11   , 23   , 40   , 38   , 20   , 31   ,
 55 - 59 , 111   , -     , -     , -     , -     , 3   , 5   , 12   , 10   , 33   , 34   , 14   ,
 60 y más , 81   , -     , -     , 1   , -     , 1   , 1   , -     , 4   , 8   , 49   , 17   ,
 Ignorado , 3.531   , -     , -     , -     , 17   , 42   , 67   , 48   , 26   , 20   , 30   , 3.281   ,
" Divorcios por pueblo de pertenencia del esposo, según pueblo de pertenencia de la esposa, año 2021 ",,,,,,,
 Pueblo de pertenencia de la esposa , Total , Pueblo de pertenencia del esposo ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 9.621 , 855 , 6 , 4 , 4.729 , 119 , 3.908 
 Maya , 776 , 593 , - , - , 104 , 13 , 66 
 Garífuna , 8 , - , 2 , - , 3 , 2 , 1 
 Xinka , 2 , - , - , 1 , 1 , - , - 
 Mestizo / ladino , 4.773 , 170 , 2 , 3 , 4.050 , 60 , 488 
 Otro , 135 , 15 , - , - , 89 , 18 , 13 
 Ignorado , 3.927 , 77 , 2 , - , 482 , 26 , 3.340 
" Divorcios por mes de registro, según departamento de registro, año 2021 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los departamentos, 9.621 , 752 , 666 , 880 , 772 , 833 , 891 , 804 , 806 , 877 , 805 , 831 , 704 
Guatemala, 3.481 , 244 , 246 , 328 , 298 , 322 , 356 , 298 , 275 , 314 , 290 , 264 , 246 
El Progreso, 232 , 22 , 17 , 25 , 13 , 9 , 17 , 24 , 38 , 20 , 5 , 26 , 16 
Sacatepéquez, 209 , 21 , 16 , 20 , 15 , 22 , 15 , 19 , 18 , 21 , 14 , 14 , 14 
Chimaltenango, 270 , 20 , 17 , 24 , 22 , 27 , 20 , 24 , 16 , 28 , 22 , 21 , 29 
Escuintla, 407 , 30 , 27 , 35 , 33 , 33 , 24 , 32 , 35 , 35 , 33 , 48 , 42 
Santa Rosa, 323 , 30 , 23 , 40 , 30 , 10 , 31 , 28 , 22 , 31 , 18 , 39 , 21 
Sololá, 94 , 12 , 15 , 10 , 2 , 5 , 9 , 4 , 7 , 8 , 7 , 8 , 7 
Totonicapán, 143 , 9 , 7 , 18 , 11 , 26 , 17 , 10 , 10 , 10 , 8 , 9 , 8 
Quetzaltenango, 897 , 60 , 64 , 72 , 71 , 82 , 80 , 90 , 61 , 66 , 107 , 88 , 56 
Suchitepéquez, 345 , 22 , 29 , 34 , 20 , 27 , 35 , 29 , 27 , 36 , 41 , 28 , 17 
Retalhuleu, 307 , 26 , 23 , 25 , 31 , 22 , 28 , 35 , 22 , 27 , 17 , 36 , 15 
San Marcos, 381 , 32 , 17 , 21 , 30 , 29 , 38 , 27 , 35 , 41 , 35 , 47 , 29 
Huehuetenango, 370 , 25 , 30 , 15 , 26 , 39 , 46 , 30 , 41 , 31 , 34 , 34 , 19 
Quiché, 262 , 30 , 12 , 28 , 12 , 25 , 16 , 18 , 24 , 38 , 17 , 14 , 28 
Baja Verapaz, 139 , 20 , 14 , 15 , 5 , 7 , 4 , 16 , 17 , 16 , 7 , 7 , 11 
Alta Verapaz, 174 , 10 , 11 , 11 , 15 , 14 , 19 , 17 , 11 , 23 , 13 , 8 , 22 
Petén, 277 , 31 , 17 , 32 , 24 , 23 , 24 , 22 , 18 , 15 , 22 , 18 , 31 
Izabal, 303 , 24 , 19 , 29 , 27 , 38 , 28 , 25 , 26 , 20 , 28 , 24 , 15 
Zacapa, 178 , 20 , 13 , 19 , 18 , 14 , 8 , 11 , 23 , 9 , 16 , 11 , 16 
Chiquimula, 283 , 13 , 17 , 29 , 22 , 29 , 24 , 16 , 19 , 24 , 21 , 43 , 26 
Jalapa, 263 , 36 , 10 , 31 , 17 , 12 , 31 , 5 , 29 , 33 , 26 , 19 , 14 
Jutiapa, 283 , 15 , 22 , 19 , 30 , 18 , 21 , 24 , 32 , 31 , 24 , 25 , 22 
" Divorcios por grupos ocupacionales de la esposa, según subgrupos ocupacionales del esposo, año 2021 ",,,,,,,,,,,,,
 Grupos ocupacionales del esposo , Grupos ocupacionales de la esposa ,,,,,,,,,,,,
, Total , Ocupaciones militares , Directores y gerentes , Profesionales científicos e intelectuales , Técnicos y profesionales de nivel medio , Personal de apoyo administrativo , Trabajadores de los servicios y vendedores de comercios y mercados ," Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros "," Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", Operadores de instalaciones y máquinas y ensambladores , Ocupaciones elementales , Ocupación  no especificada , Ignorado 
 Todos los grupos ocupacionales , 9.621 , 3 , 25 , 910 , 397 , 692 , 300 , - , 39 , 31 , 23 , 5.242 , 1.959 
 Ocupaciones militares , 22 , 2 , - , 2 , 1 , 3 , 2 , - , - , - , - , 11 , 1 
 Directores y gerentes , 34 , - , 5 , 8 , - , 6 , 2 , - , - , - , - , 13 , - 
 Profesionales científicos e intelectuales , 703 , - , 7 , 244 , 49 , 67 , 14 , - , 2 , 2 , - , 286 , 32 
 Técnicos y profesionales de nivel medio , 811 , - , 1 , 145 , 113 , 154 , 28 , - , 1 , 2 , 1 , 341 , 25 
 Personal de apoyo administrativo , 411 , - , - , 66 , 38 , 97 , 16 , - , 1 , 1 , 3 , 167 , 22 
 Trabajadores de los servicios y vendedores de comercios y mercados , 749 , 1 , 2 , 74 , 29 , 61 , 83 , - , 5 , 2 , 3 , 464 , 25 
" Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros ", 30 , - , - , 4 , 2 , 3 , - , - , - , - , 2 , 19 , - 
" Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", 672 , - , - , 47 , 34 , 47 , 33 , - , 13 , 7 , - , 444 , 47 
 Operadores de instalaciones y máquinas y ensambladores , 289 , - , - , 23 , 11 , 19 , 16 , - , 4 , 4 , 2 , 190 , 20 
 Ocupaciones elementales , 1.385 , - , - , 29 , 26 , 33 , 37 , - , 7 , 5 , 5 , 1.132 , 111 
 No especificado en otro grupo , 2.730 , - , 10 , 243 , 80 , 185 , 56 , - , 4 , 6 , - , 2.021 , 125 
 Ignorado , 1.785 , - , - , 25 , 14 , 17 , 13 , - , 2 , 2 , 7 , 154 , 1.551 
"Divorcios por mes de ocurrencia, según día de ocurrencia, año 2021",,,,,,,,,,,,,
Día de ocurrencia,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los días, 9.621   , 688   , 777   , 982   , 858   , 854   , 802   , 853   , 864   , 837   , 905   , 746   , 455   
1, 294   , 1   , 54   , 41   , 1   , 1   , 26   , 36   , 2   , 51   , 39   , -     , 42   
2, 298   , -     , 40   , 41   , 2   , -     , 26   , 41   , 40   , 43   , 1   , 41   , 23   
3, 295   , 1   , 34   , 41   , 2   , 47   , 29   , -     , 45   , 37   , -     , 33   , 26   
4, 307   , 17   , 42   , 39   , 1   , 40   , 39   , -     , 48   , 1   , 39   , 41   , -     
5, 333   , 27   , 41   , 37   , 37   , 39   , -     , 25   , 38   , 1   , 41   , 47   , -     
6, 259   , 24   , -     , -     , 45   , 30   , 1   , 42   , 28   , 31   , 36   , -     , 22   
7, 267   , 18   , -     , -     , 35   , 48   , 32   , 40   , -     , 39   , 40   , -     , 15   
8, 384   , 32   , 46   , 43   , 43   , 1   , 16   , 58   , -     , 49   , 45   , 33   , 18   
9, 385   , 2   , 37   , 55   , 38   , -     , 49   , 62   , 50   , 33   , -     , 32   , 27   
10, 271   , -     , 29   , 47   , -     , 33   , 38   , -     , 33   , 41   , 1   , 29   , 20   
11, 327   , 32   , 35   , 39   , -     , 34   , 50   , -     , 41   , 1   , 57   , 38   , -     
12, 334   , 25   , 26   , 47   , 46   , 44   , 2   , 41   , 50   , -     , 50   , 3   , -     
13, 318   , 33   , -     , -     , 33   , 56   , -     , 45   , 35   , 51   , 42   , -     , 23   
14, 301   , 31   , -     , -     , 34   , 39   , 44   , 41   , -     , 42   , 48   , -     , 22   
15, 335   , 28   , 42   , 47   , 55   , 2   , 37   , 29   , -     , -     , 39   , 36   , 20   
16, 338   , 2   , 41   , 38   , 41   , -     , 44   , 44   , 18   , 44   , -     , 38   , 28   
17, 318   , -     , 38   , 66   , -     , 38   , 24   , -     , 40   , 53   , -     , 33   , 26   
18, 348   , 41   , 30   , 46   , 1   , 57   , 44   , -     , 43   , -     , 50   , 36   , -     
19, 398   , 35   , 33   , 55   , 60   , 45   , -     , 40   , 39   , -     , 50   , 41   , -     
20, 230   , 25   , -     , -     , 45   , 36   , -     , 37   , 45   , 25   , 1   , -     , 16   
21, 314   , 52   , 1   , -     , 32   , 39   , 48   , 27   , 1   , 39   , 46   , 1   , 28   
22, 415   , 38   , 37   , 39   , 48   , -     , 51   , 46   , 1   , 45   , 42   , 43   , 25   
23, 322   , -     , 34   , 30   , 48   , -     , 45   , 26   , 47   , 38   , 1   , 37   , 16   
24, 271   , -     , 54   , 45   , 1   , 36   , 37   , -     , 45   , 14   , -     , 39   , -     
25, 333   , 35   , 34   , 56   , 1   , 41   , 45   , -     , 35   , -     , 45   , 41   , -     
26, 369   , 37   , 48   , 43   , 42   , 46   , -     , 32   , 39   , -     , 45   , 37   , -     
27, 281   , 53   , -     , 1   , 53   , 26   , 1   , 44   , 21   , 43   , 38   , -     , 1   
28, 300   , 55   , 1   , 2   , 52   , 39   , 10   , 34   , -     , 36   , 53   , 1   , 17   
29, 350   , 44   , -     , 49   , 60   , -     , 34   , 24   , -     , 27   , 56   , 36   , 20   
30, 248   , -     , -     , 33   , 2   , -     , 30   , 38   , 42   , 53   , -     , 30   , 20   
31, 78   , -     , -     , 2   , -     , 37   , -     , 1   , 38   , -     , -     , -     , -     
CONTENIDO,,,,,,,,

,Presentación,,,,,,,
1,"Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia",,,,,,,
2,"Divorcios por pueblo de pertenencia del esposo, según pueblo de pertenencia de la esposa",,,,,,,
3,"Divorcios por mes registro, según departamento de registro",,,,,,,
4,"Divorcios por grupos ocupacionales de la esposa, según grupos ocupacionales del esposo",,,,,,,
5,"Divorcios por mes de ocurrencia, según día de ocurrencia",,,,,,,
" Divorcios por grupos de edad del esposo, según grupos de edad de la esposa, al momento de la sentencia, año 2020 ",,,,,,,,,,,,,
 Edad de la esposa , Total , Edad del esposo ,,,,,,,,,,,
,, Menos de 20 , 20-24 , 25-29 , 30-34 , 35-39 , 40-44 , 45-49 , 50-54 , 55-59 , 60 y más , Ignorado ,
 Todas las edades , 4.074   , 1   , 115   , 528   , 668   , 427   , 294   , 188   , 104   , 68   , 81   , 1.600   ,
 Menos de 20 , 3   , -     , -     , 2   , 1   , -     , -     , -     , -     , -     , -     , -     ,
 20 - 24 , 314   , 1   , 83   , 157   , 43   , 19   , 9   , 1   , -     , -     , 1   , -     ,
 25 - 29 , 673   , -     , 24   , 282   , 245   , 78   , 25   , 7   , 2   , 2   , 4   , 4   ,
 30 - 34 , 593   , -     , 4   , 67   , 284   , 144   , 54   , 13   , 4   , 4   , 4   , 15   ,
 35 - 39 , 380   , -     , 3   , 10   , 68   , 137   , 94   , 30   , 11   , 3   , 6   , 18   ,
 40 - 44 , 232   , -     , 1   , 6   , 15   , 33   , 68   , 55   , 14   , 6   , 7   , 27   ,
 45 - 49 , 142   , -     , -     , 2   , 3   , 1   , 16   , 48   , 28   , 15   , 13   , 16   ,
 50 - 54 , 65   , -     , -     , 1   , 1   , 2   , 2   , 11   , 24   , 12   , 5   , 7   ,
 55 - 59 , 31   , -     , -     , -     , -     , -     , 1   , 2   , 2   , 11   , 10   , 5   ,
 60 y más , 34   , -     , -     , -     , -     , 2   , -     , 1   , 4   , 2   , 21   , 4   ,
 Ignorado , 1.607   , -     , -     , 1   , 8   , 11   , 25   , 20   , 15   , 13   , 10   , 1.504   ,
" Divorcios por pueblo de pertenencia del esposo, según pueblo de pertenencia de la esposa, año 2020 ",,,,,,,
 Pueblo de pertenencia de la esposa , Total , Pueblo de pertenencia del esposo ,,,,,
,, Maya , Garífuna , Xinka , Mestizo / ladino , Otro , Ignorado 
 Todos los pueblos , 4.074 , 374 , 1 , - , 1.924 , 44 , 1.731 
 Maya , 354 , 268 , - , - , 55 , 6 , 25 
 Garífuna , - , - , - , - , - , - , - 
 Xinka , - , - , - , - , - , - , - 
 Mestizo / ladino , 1.944 , 70 , 1 , - , 1.641 , 20 , 212 
 Otro , 47 , 5 , - , - , 25 , 10 , 7 
 Ignorado , 1.729 , 31 , - , - , 203 , 8 , 1.487 
" Divorcios por mes de registro, según departamento de registro, año 2020 ",,,,,,,,,,,,,
Departamento de registro,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los departamentos, 4.074 , 507 , 642 , 479 , 213 , 149 , 121 , 81 , 126 , 240 , 438 , 544 , 534 
Guatemala, 1.412 , 177 , 251 , 207 , 94 , 37 , 34 , 21 , 52 , 63 , 112 , 209 , 155 
El Progreso, 67 , 12 , 11 , 7 , 1 , 1 , 1 , 2 , 6 , 6 , 8 , 6 , 6 
Sacatepéquez, 98 , 23 , 14 , 6 , 2 , 5 , 4 , 1 , 1 , 3 , 8 , 13 , 18 
Chimaltenango, 127 , 18 , 11 , 13 , 2 , 3 , 3 , - , 2 , 5 , 20 , 22 , 28 
Escuintla, 137 , 10 , 24 , 25 , 7 , 6 , 5 , 3 , 5 , 10 , 12 , 17 , 13 
Santa Rosa, 160 , 14 , 23 , 9 , 2 , 1 , 2 , 1 , 3 , 8 , 44 , 31 , 22 
Sololá, 42 , 3 , 15 , 5 , 2 , 3 , 4 , - , - , 1 , 2 , 5 , 2 
Totonicapán, 73 , 9 , 10 , 11 , 4 , 6 , 1 , 1 , 1 , 4 , 6 , 16 , 4 
Quetzaltenango, 442 , 57 , 73 , 46 , 17 , 13 , 13 , 13 , 9 , 21 , 43 , 52 , 85 
Suchitepéquez, 153 , 16 , 17 , 13 , 5 , 7 , 3 , 7 , 2 , 8 , 28 , 22 , 25 
Retalhuleu, 113 , 8 , 12 , 10 , 6 , 7 , 2 , 1 , 4 , 12 , 16 , 23 , 12 
San Marcos, 178 , 18 , 16 , 15 , 19 , 14 , 4 , 4 , 9 , 19 , 15 , 21 , 24 
Huehuetenango, 128 , 13 , 18 , 10 , 9 , 13 , 6 , 4 , 5 , 6 , 10 , 14 , 20 
Quiché, 139 , 20 , 19 , 16 , 8 , 4 , 9 , 1 , 6 , 16 , 13 , 16 , 11 
Baja Verapaz, 43 , 9 , 3 , 7 , 1 , - , 2 , 2 , - , 2 , 3 , 8 , 6 
Alta Verapaz, 91 , 8 , 10 , 3 , 9 , 3 , 6 , - , - , 8 , 15 , 13 , 16 
Petén, 118 , 19 , 25 , 12 , 2 , 3 , 1 , 9 , 5 , 4 , 14 , 12 , 12 
Izabal, 122 , 14 , 17 , 17 , 4 , 8 , 4 , 1 , 4 , 15 , 18 , 12 , 8 
Zacapa, 80 , 18 , 11 , 9 , 2 , 3 , 3 , - , - , 7 , 8 , 9 , 10 
Chiquimula, 132 , 14 , 12 , 11 , 8 , 6 , 10 , 7 , 7 , 6 , 22 , 17 , 12 
Jalapa, 95 , 5 , 19 , 7 , 2 , - , 2 , 1 , 3 , 13 , 7 , 3 , 33 
Jutiapa, 124 , 22 , 31 , 20 , 7 , 6 , 2 , 2 , 2 , 3 , 14 , 3 , 12 
" Divorcios por grupos ocupacionales de la esposa, según subgrupos ocupacionales del esposo, año 2020 ",,,,,,,,,,,,,
 Grupos ocupacionales del esposo , Grupos ocupacionales de la esposa ,,,,,,,,,,,,
, Total , Ocupaciones militares , Directores y gerentes , Profesionales científicos e intelectuales , Técnicos y profesionales de nivel medio , Personal de apoyo administrativo , Trabajadores de los servicios y vendedores de comercios y mercados ," Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros "," Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", Operadores de instalaciones y máquinas y ensambladores , Ocupaciones elementales , Ocupación  no especificada , Ignorado 
 Todos los grupos ocupacionales , 4.074 , 1 , 8 , 368 , 169 , 248 , 115 , - , 21 , 14 , 7 , 2.284 , 839 
 Ocupaciones militares , 10 , 1 , - , 2 , 2 , - , - , - , - , - , - , 5 , - 
 Directores y gerentes , 15 , - , 2 , 4 , 2 , 2 , 1 , - , - , - , - , 4 , - 
 Profesionales científicos e intelectuales , 281 , - , 2 , 94 , 21 , 29 , 7 , - , - , - , 1 , 113 , 14 
 Técnicos y profesionales de nivel medio , 330 , - , - , 64 , 59 , 48 , 11 , - , - , - , - , 138 , 10 
 Personal de apoyo administrativo , 167 , - , - , 32 , 9 , 44 , 6 , - , 1 , - , 1 , 65 , 9 
 Trabajadores de los servicios y vendedores de comercios y mercados , 314 , - , - , 32 , 11 , 23 , 47 , - , 1 , 1 , - , 185 , 14 
" Agricultores y trabajadores calificados agropecuarios, forestales y pesqueros ", 13 , - , - , 3 , - , - , - , - , - , - , - , 10 , - 
" Oficiales, operarios y artesanos de artes mecánicas y de otros oficios ", 254 , - , - , 20 , 10 , 16 , 11 , - , 5 , 3 , - , 170 , 19 
 Operadores de instalaciones y máquinas y ensambladores , 121 , - , - , 9 , 3 , 1 , 7 , - , - , 2 , - , 92 , 7 
 Ocupaciones elementales , 636 , - , - , 14 , 7 , 8 , 6 , - , 4 , 3 , 1 , 547 , 46 
 No especificado en otro grupo , 1.183 , - , 4 , 89 , 35 , 73 , 17 , - , 8 , 5 , 3 , 895 , 54 
 Ignorado , 750 , - , - , 5 , 10 , 4 , 2 , - , 2 , - , 1 , 60 , 666 
"Divorcios por mes de ocurrencia, según día de ocurrencia, año 2020",,,,,,,,,,,,,
Día de ocurrencia,Total,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
Todos los días, 4.074   , 608   , 700   , 457   , 2   , 8   , 30   , 27   , 123   , 347   , 778   , 438   , 556   
1, 68   , -     , 1   , 2   , -     , -     , -     , 1   , -     , 17   , 15   , -     , 32   
2, 134   , 20   , -     , 42   , -     , -     , -     , 1   , -     , 18   , 29   , -     , 24   
